customer_id,purchase_date,product_name,quantity,total_price
1,8/30/2021,Compact Portable Grill,5,22.88
2,2/15/2021,Luxe Velvet Blazer,34,57.1
3,11/22/2021,Chic Jumpsuit,54,67.2
4,9/23/2021,Chocolate Chip Cliff Bars,37,80.51
5,5/29/2021,Stylish Wireless Earbuds,57,80.64
6,5/7/2021,Bock Beer Mustard,62,9.23
7,4/5/2021,Teriyaki Salmon Fillets,8,15.69
8,5/26/2021,Maple Almond Butter,15,68.82
9,10/18/2021,Dog Collar,87,76.56
10,2/26/2021,Electric Kettle with Temperature Control,77,32.84
11,10/2/2021,Almond Coconut Granola,10,30.1
12,5/17/2021,Summer Tank Dress,90,71.62
13,11/29/2021,Smart Air Purifier,27,56.98
14,6/27/2021,Trail Mix (Deluxe),7,61.9
15,10/11/2021,Waterproof Rain Boots,14,93.69
16,2/25/2021,Spicy Avocado Salsa,39,7.99
17,2/28/2021,Fashionable Belt Bag,100,23.61
18,8/22/2021,Rice Pilaf Mix,9,89.22
19,8/21/2021,Mini Indoor Herb Garden Kit,42,62.84
20,7/17/2021,Outdoor String Lights,31,36.12
21,12/18/2021,Beef Sirloin Steak,71,36.23
22,10/15/2021,Andouille Sausage,19,74.1
23,5/9/2021,Leather Notebook Cover,18,49.48
24,5/19/2021,Suede Ankle Booties,37,8.86
25,12/19/2021,Oversized Denim Shirt,85,60.86
26,4/11/2021,Adjustable Window Blind,19,41.15
27,4/23/2021,Incense Holder,34,54.47
28,1/7/2021,Creamy Tomato Basil Soup,44,41.66
29,5/27/2021,Travel Eye Mask with Ear Plugs,18,63.88
30,11/8/2021,Electric Opener for Jars and Bottles,80,62.75
31,1/20/2021,Organic Tomato Soup,1,27.84
32,10/14/2021,Fishing Tackle Box,79,42.19
33,9/21/2021,Beef Jerky,29,21.87
34,12/7/2021,Peanut Butter Pretzel Nuggets,88,65.21
35,4/29/2021,Vegetable Lasagna,1,80.64
36,4/5/2021,Coconut Milk,8,0.88
37,9/9/2021,Handcrafted Wooden Jewelry Box,23,79.56
38,9/14/2021,Pet Bed,58,76.52
39,10/17/2021,Vegetable Quinoa Bowl,58,37.93
40,7/3/2021,Herbed Couscous,25,10.39
41,7/18/2021,Sweet Potatoes,5,24.96
42,5/2/2021,Portable Refrigerator Freezer,68,67.54
43,4/24/2021,Portable Air Pump,84,30.14
44,3/18/2021,Cinnamon Ice Cream,85,32.25
45,4/19/2021,Dried Fruit Medley,48,52.67
46,8/16/2021,Faux Fur Throw Blanket,23,57.33
47,1/28/2021,Silicone Baking Mat,24,66.99
48,6/29/2021,Whole Grain Hamburger Buns,83,72.5
49,5/31/2021,Honey Lemon Tea,99,90.22
50,11/8/2021,Silicone Baking Molds,21,42.34
51,10/24/2021,Smartphone Projector,17,89.4
52,4/6/2021,Vintage Graphic Tee,89,15.65
53,11/8/2021,Peanut Butter Pretzel Bites,99,40.66
54,9/6/2021,Wireless Printer,9,78.1
55,4/18/2021,Deluxe First Aid Kit,15,46.55
56,12/6/2021,Spinach and Ricotta Ravioli,77,5.05
57,12/4/2021,Electric Pressure Cooker,57,62.09
58,12/25/2021,Fitness Tracker Band,10,78.68
59,10/20/2021,Miso Soup Starter,52,64.63
60,10/29/2021,Sliced Strawberries,38,93.14
61,4/28/2021,Wine Glasses,31,60.84
62,9/9/2021,Guitar Tuner,79,4.68
63,1/28/2021,Rice Pudding,46,36.64
64,4/6/2021,Artisan Cornbread Mix,4,96.53
65,2/22/2021,Herbed Couscous,59,75.75
66,5/9/2021,Vegetable Quinoa Bowl,99,62.04
67,9/18/2021,Outdoor Camping Hammock,40,65.61
68,3/20/2021,Ginger Turmeric Tea,91,67.37
69,8/8/2021,Thai Coconut Curry Sauce,80,90.87
70,12/2/2021,Crispy Chickpeas,96,51.31
71,4/20/2021,Garden Vegetable Soup,16,58.15
72,9/2/2021,Collapsible Camping Cup,93,7.1
73,4/18/2021,Telescope,89,35.4
74,4/16/2021,Pet Hair Vacuum Cleaner Attachment,53,52.76
75,1/23/2021,Sriracha Honey Glaze,23,63.88
76,6/18/2021,Dishwasher Safe Cutting Board,67,67.43
77,2/9/2021,Personal Security Alarm Keychain,56,14.9
78,3/16/2021,Beet Salad,86,86.57
79,10/7/2021,Bluetooth Headphones,59,71.98
80,2/12/2021,Cinnamon Spiced Almonds,29,71.8
81,6/1/2021,Wildflower Honey,96,2.32
82,4/17/2021,Dark Chocolate Covered Almonds,75,7.92
83,8/28/2021,Cooking Utensil Set,7,89.04
84,10/7/2021,Sweet and Spicy Barbecue Sauce,53,44.06
85,9/8/2021,Oven Mitts,96,93.43
86,3/5/2021,Almond Quinoa Salad,43,73.45
87,5/21/2021,Digital Bullet Journal,95,64.53
88,11/29/2021,Vanilla Almond Granola,60,53.63
89,7/2/2021,Wine Glasses,21,99.14
90,5/10/2021,Adjustable Skipping Rope,25,41.57
91,6/18/2021,Camping Tent,58,61.62
92,6/28/2021,Kids' Outdoor Explorer Kit,63,76.75
93,7/5/2021,Dog Training Whistle,13,35.73
94,2/5/2021,Peanut Butter Banana Smoothie,92,98.8
95,10/19/2021,Tomato Paste,31,11.41
96,1/27/2021,Portable Speakers,24,61.2
97,4/12/2021,Basil Pesto Pasta,66,76.8
98,6/7/2021,Mango Chilli Sauce,82,57.76
99,6/26/2021,Teriyaki Chicken Wings,55,89.63
100,12/25/2021,Blueberry Muffin Mix,19,32.2
